feature,importance,std
dist_011701,0.021668267640898863,0.0006397353728871494
dist_011705,0.020348644945908066,0.0006161517400234507
dist_041553,0.01750153536053416,9.583877331593536e-05
genus_Centaurea,0.01339149331527647,0.0005434616848998827
dist_041552,0.013063949734658232,0.00043098113697222603
genus_Euphorbia,0.01132544919137679,0.0003446318250450491
dist_041405,0.009876698738642276,0.00010558905635473276
elevation,0.009823157961041228,0.00045163703813034015
dist_041301,0.006727241232697678,0.0001640743432925009
dist_011706,0.005706817000771647,0.00018163388633981445
dist_040205,0.005593436530557616,0.0001658780729384525
dist_041557,0.005502102262885234,0.0005076980204505212
dist_041307,0.004412389965828401,7.345734084809753e-05
dist_041554,0.003817142497204862,0.00025675323335513694
dist_010304,0.003574634269247157,0.00023505167512772357
dist_041308,0.0033100798387477592,0.00013038906221427802
dist_061604,0.0023337480119049792,4.919609893014873e-05
genus_Cirsium,0.001675511393162532,9.989292806419133e-05
genus_Linaria,0.0014865439428058736,0.00010282870237509564
dist_011752,0.0013763129300977893,0.00013197692606495073
genus_Senecio,0.0005889485536116456,8.066547076433118e-05
dist_010404,0.00045352188085601153,0.00012769875396571753
dist_010403,0.00043462513582037676,0.00014725187443190803
genus_Chondrilla,0.000406280018266858,9.829133448388148e-05
dist_011755,0.0002960490055588183,0.00010224829114057291
genus_Hypericum,0.00027085334551124607,9.778545704143824e-05
dist_041204,0.0001543234177912911,4.272132014628085e-05
genus_Other,0.00012282884273184802,9.149702562925857e-05
dist_041404,0.00010393209769616884,5.0391320095094506e-05
dist_010408,9.133426767242714e-05,1.5429127712267832e-05
dist_010407,8.503535266051188e-05,7.223183119651311e-05
dist_041556,7.243752263674796e-05,2.5586313732045794e-05
genus_Cynoglossum,6.928806513077923e-05,6.50040704865878e-05
dist_010406,6.61386076248549e-05,3.908373981067874e-05
genus_Carduus,4.0942947577282673e-05,6.943107470529035e-05
genus_Hieracium,3.779349007133614e-05,7.879940162322478e-05
dist_041206,3.464403256541182e-05,8.054241124068218e-05
genus_Potentilla,2.2046202541625702e-05,6.107024685346262e-05
dist_041304,9.448372517839587e-06,1.6059145280052616e-05
dist_011404,3.1494575059465292e-06,6.2989150118930585e-06
genus_Verbascum,3.1494575059465292e-06,6.2989150118930585e-06
dist_041401,3.1494575059465292e-06,6.2989150118930585e-06
dist_040204,0.0,0.0
dist_041306,0.0,0.0
genus_Leucanthemum,0.0,4.9797295563521646e-05
dist_041302,0.0,1.7250289199108748e-05
dist_041403,-3.1494575059465292e-06,1.1784190941455465e-05
dist_041555,-3.1494575059465292e-06,6.2989150118930585e-06
dist_040201,-3.1494575059465292e-06,1.836433521203367e-05
dist_041551,-1.2597830023786117e-05,1.836433521203367e-05
genus_Tanacetum,-1.2597830023786117e-05,2.0891137680786297e-05
dist_040203,-1.5747287529732645e-05,9.959459112704328e-06
dist_011753,-1.8896745035679174e-05,2.709265788088088e-05
genus_Berteroa,-1.8896745035679174e-05,2.0891137680786297e-05
dist_041201,-4.7241862589153524e-05,3.590934050669386e-05
dist_041202,-6.61386076248105e-05,3.6457606421053706e-05
dist_040206,-7.558698014262789e-05,1.5429127712254235e-05
dist_041203,-0.0003747854432074149,4.919609893020131e-05
